TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
edu.osu.cs362.Appt,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9849084738790621,391,387
edu.osu.cs362.CalDay,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9510154013902139,270,255
edu.osu.cs362.TimeTable,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7361005980749463,204,127
